                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.052,                 1.6284,                 1.3151,                0.69474,                0.73933,                0.75803,                0.55324,                 1.1258,                  1.157,                 1.2593,               0.070073,              0.0033252,              0.0033252
                      1,                 1.0648,                 1.5661,                 1.3084,                0.66561,                0.58969,                0.67362,                0.48952,                 1.1663,                 1.4692,                 1.2836,               0.039743,               0.006329,               0.006329
                      2,                 1.1072,                  1.677,                 1.3343,                0.60574,                0.62241,                0.61704,                0.42457,                 1.2317,                 1.7024,                  1.368,              0.0090838,              0.0090027,              0.0090027
                      3,                 1.1606,                  1.789,                  1.372,                0.58236,                0.63703,                0.63304,                  0.442,                 1.2341,                 1.5762,                 1.3656,               0.008515,               0.008515,               0.008515
                      4,                  1.159,                 1.7144,                 1.3736,                0.63714,                0.56061,                0.61096,                0.41141,                 1.2068,                 1.7812,                 1.3479,               0.008515,               0.008515,               0.008515
                      5,                 1.1379,                 1.6384,                 1.3571,                0.72971,                0.68852,                0.77929,                0.53653,                 1.1649,                 1.2164,                    1.3,                0.00802,                0.00802,                0.00802
                      6,                 1.1085,                 1.4882,                 1.3339,                0.74939,                0.66394,                0.74721,                0.53107,                 1.1533,                 1.0627,                  1.292,               0.007525,               0.007525,               0.007525
                      7,                 1.0843,                 1.3686,                 1.3128,                0.79441,                0.65473,                0.78611,                0.56975,                 1.1209,                 1.0654,                 1.2527,                0.00703,                0.00703,                0.00703
                      8,                 1.0655,                 1.2926,                 1.3094,                0.77685,                 0.8022,                0.84798,                 0.6128,                 1.1157,                0.95034,                 1.2662,               0.006535,               0.006535,               0.006535
                      9,                 1.0399,                 1.2196,                 1.2922,                0.80148,                0.76425,                0.82751,                0.58861,                 1.1099,                0.95373,                 1.2779,                0.00604,                0.00604,                0.00604
                     10,                 1.0344,                 1.1773,                 1.2856,                0.69528,                0.80184,                0.84721,                0.60718,                 1.1066,                 1.1057,                 1.2538,               0.005545,               0.005545,               0.005545
                     11,                  1.012,                 1.1109,                  1.271,                0.85556,                0.80716,                0.88099,                0.63546,                 1.0862,                0.91684,                  1.235,                0.00505,                0.00505,                0.00505
                     12,                0.99189,                 1.0544,                 1.2593,                0.81258,                0.83983,                0.88617,                0.63876,                 1.1051,                0.84417,                 1.2442,               0.004555,               0.004555,               0.004555
                     13,                0.97062,                 1.0101,                 1.2418,                0.76403,                0.82132,                0.86623,                0.64672,                 1.0782,                0.88827,                 1.2293,                0.00406,                0.00406,                0.00406
                     14,                0.95727,                0.96921,                 1.2321,                0.84733,                0.81336,                0.88156,                0.66069,                 1.0662,                 0.8805,                 1.2194,               0.003565,               0.003565,               0.003565
                     15,                0.93242,                0.91929,                 1.2171,                0.87807,                0.78489,                0.89835,                0.66538,                 1.0711,                0.78465,                 1.2186,                0.00307,                0.00307,                0.00307
                     16,                0.91595,                0.89392,                 1.2094,                0.79032,                0.84731,                0.87252,                0.64918,                 1.0754,                0.76861,                 1.2238,               0.002575,               0.002575,               0.002575
                     17,                0.90281,                0.86319,                 1.2038,                0.82721,                0.84609,                0.89868,                0.67512,                 1.0706,                0.77461,                  1.217,                0.00208,                0.00208,                0.00208
                     18,                0.87962,                0.81914,                 1.1862,                0.86739,                0.80293,                0.90551,                0.68303,                 1.0593,                0.75939,                 1.2137,               0.001585,               0.001585,               0.001585
                     19,                0.87631,                0.81094,                 1.1856,                0.84364,                0.83037,                0.89554,                0.67914,                 1.0521,                 0.7481,                 1.2106,                0.00109,                0.00109,                0.00109
